hypothesis,premise,label
Une femme dans une chemise jaune et des shorts rouges se préparant à enlever une jeune fille.,Une femme dans une chemise jaune et des courtes rouges traverse ses bras en regardant dans un miroir avec une petite fille dans une chemise Disney Princess jaune.,2
Un homme fait de l'exercice à l'extérieur.,"Jeunes garçons qui courent une veste bleue et des jeans bleus, les pots de fleurs se trouvent en fond sur une passerelle de ciment.",0
Les gens se trouvent à proximité du lac Michigan.,Un homme et une femme assis sur un pont à côté d'un lac.,1
La femme a volé la nourriture de l'homme avant même qu'il puisse prendre une piqûre.,"Un homme assis à manger, et une femme avec une chemise noire marchant à l'extérieur avec des sacs à commerçant.",2
Un groupe de femmes utilisent des ordinateurs.,Un groupe de femmes dotées d'ordinateurs siège derrière une table tandis que les gens de l'autre côté achètent quelque chose.,0
Un chien se déplace à l'extérieur.,Petit chien blanc et collier à courroie dans une zone grasse clôturée,0
L'homme s'est écarté de son fauteuil roulant pour lancer quelque chose.,Un homme debout devant un fauteuil roulant jette quelque chose.,1
Une femme est assise derrière un homme.,Une vieille femme à cheveux blanc portant des lunettes de soleil est assise derrière un homme en jaune.,0
Un homme est à un puits dans le pays.,Un homme s'enfonce à l'eau d'un pâle dans une fontaine.,2
Le garçon est assis sur une chaise.,Une femme attend à l'extérieur pendant que son fils joue avec un camion de jouet et une pelle.,2
L'homme est assis sur un piégeage.,L'homme fait un saut dans l'eau avec ses chaussures.,2
Un tracteur traverse un terrain.,Un tracteur jaune traverse un terrain boueux et vert.,0
Un groupe d'amis se prépare à une aventure aquatique.,Un groupe d'amis se prépare à entreprendre une aventure aquatique.,1
Un homme parle à quelqu'un dans un coin de rue.,Un homme à l'angle d'une rue donne à quelqu'un des instructions.,0
Deux personnes se trouvent à l'océan.,Deux personnes en chemises rouges se trouvent dans une chaise de garde de sauvetage sur une plage avec un drapeau américain derrière elles.,1
tom brady jete un passage à la giselle,Certaines personnes regardent une petite fille et un propriétaire d'un stand fabriquant des bulles avec certains articles qu'il vend.,2
Un homme se trouve à proximité d'un but de hockey.,Un homme est incliné près d'un but de hockey.,0
Un homme enseigne aux enfants préscolaires des bicyclettes.,Un homme en calotte enseigne aux enfants l'entretien approprié du vélo.,1
un homme porte une chemise rouge,Un homme portant une chemise noire.,2
Les garçons échangent des cartes de Pokemon.,deux garçons en uniforme échangeant un article,1
Il y a un groupe de personnes qui se divertissent pour des fonds supplémentaires.,Un homme et des femmes dansent pour une foule.,2
2 filles habillées dans des suites de baignade à la plage.,2 filles habillées en vêtements d'hiver à l'aise à un homme de neige avec un écouteau.,2
Un camion d'incendie est une marche à suivre.,Un camion de pompiers et des personnes qui se trouvent à un passage à niveau.,0
Les fleurs sont grandes.,"Une femme debout parmi une poignée de fleurs roses, avec une petite poignée à l'arrière.",1
Trois chiens jouent le frisbee dans la neige.,"Trois chiens, un gardant un Frisbee rouge, se trouvent dans la neige.",1
Les enfants se reposent à l'extérieur.,Il y a trois enfants à l'extérieur assis.,0
Une femme attend un train,Femme en robe noire qui se trouve à l'extérieur d'une gare.,0
Les humains qui attendent,Un groupe de voyageurs se trouvent dans un aéroport et attendent quelque chose.,0
Les vendeurs vendent aux femmes le pain plat.,Deux travailleurs aident les clients au stand Sonoma Artisan Sourdough Baker.,1
Il y a des gens qui marchent leur chien,Un chien et deux personnes.,1
Personnes qui attendent de sortir d'un immeuble.,Les gens qui attendent d'entrer dans un immeuble blanc à travers une voie d'entrée avec un panneau d'inscription orange à gauche.,2
Femmes jouant avec un chiot.,Trois femmes et une petite fille jouent avec un petit chiot.,0
Un enfant détient un téléphone cellulaire volé.,Un petit enfant dans une chemise d'Izod tient un téléphone cellulaire à son oreille.,1
deux garçons et deux filles jouant du basket-ball,Quatre enfants jouent du basket-ball.,1
Un homme chante avec un microphone.,Un homme chante dans un microphone.,0
Les gens participent.,Certaines de ces personnes qui attendent à l'arrêt d'autobus attendent l'autobus jaune qui est le numéro 3113 pour charger et aller à Goctawek.,2
Siège des humains.,"Les gens se trouvent sur un barrage sur le côté d'une rue, la fille en avant a des hâtiments.",0
Le garçon tient sur quelqu'un pour qu'ils soient aussi humides.,Un garçon muni d'une chemise brune tient sur une personne munie d'une chemise blanche autour d'une vaporisation d'eau.,1
Les chiens courent avec un haltere.,Un chien noir et blanc avec un halter bleu traverse l'herbe.,1
Les gens sont en rouleau,Les gens roulent sur une patinoire de glace.,0
Une personne portant des lunettes est sortie dans le désert.,Une personne en casque conduit un véhicule à quatre roues dans le désert.,1
Le chien brun mâchera sur une balle.,Un chien brun mâchera sur un tapis blanc alors qu'il s'asseoira sur un tapis rouge à côté d'un plancher étanche.,2
La femme joigne à l'extérieur,Une femme portant des jeans fait un kiosque à main sur la plage.,2
Une femme en jeans et une chemise noire attend un banc de parc.,Un homme en jeans et une chemise noire attend un banc de parc.,2
Le jogging de l'homme traverse la route pour le café.,Bald a dirigé un guy franchissant la route.,1
Les trois personnes de l'image n'ont rien à leur main.,Un homme tient un bâtonnet et se tient entre une femme d'âge moyen et un homme d'âge moyen.,2
Un homme est assis dans une forêt.,Un homme est en patinoire devant un groupe de personnes.,2
Les femmes sont des femmes blanches.,Deux femmes montent des roches autour de l'océan,1
Les humains en été.,Groupe d'enfants portant des vêtements de bain jouant dans le parc.,1
Le couple est à la maison et regarde un jeu.,Un couple ayant un dîner dans un restaurant.,2
Lise de l'homme,Un homme dans une veste en cuir lise d'un livre à des personnes en classe,0
une femme a une réflexion,Une femme utilise un miroir pour montrer à une jeune fille ce que son visage peint ressemble alors qu'une foule regarde.,0
L'homme se trouve dans un bâtiment.,Homme avec tasse regardant sur une escalade,0
Une jeune brunette porte une boîte lourde avec les deux mains.,Une jeune brunette souriante porte une caméra vidéo noire à sa main.,2
Un groupe d'acteurs pratiquent pour leur jeu.,Un groupe d'hommes et de femmes se trouvent sur scène et exécutent un spectacle en éclairage dim.,1
Deux hommes sur un chantier de construction.,Deux hommes travaillant ensemble sur un chantier de construction.,0
deux femmes boivent et parlent.,Deux femmes plus âgées qui boivent du vin et parlent sur un canapé.,0
Un chien qui s'éloigne de son propriétaire par la neige.,Un chien traverse la neige avec un grand arbre à la distance.,1
l’homme s’assujettit aux bottes de combat,Une jeune fille tenue à l'occasion fixant sa chaussure qui n'a pas été reliée.,2
Le chien est humide.,Deux hommes et une femme jouent avec un chien dans l'eau.,0
Une femme est à l'intérieur d'une épicerie.,Un homme dans un fond douteux roule son chariot d'épicerie à travers un rassemblement dans la rue.,2
Un homme est assis à la lecture d'un livre pendant une belle journée.,Un homme assis contre un arbre en lecture d'un livre.,1
Le chien joue dans une cour.,Le chien brun roule le long d’une voie grasse.,1
Les agriculteurs choisissent leurs cultures.,Les agriculteurs récoltent des cultures sur un terrain.,0
L’étudiant dessine une orange,Une étudiante qui colore sur papier avec un milieu orange.,1
La fille marche à l'école en pluie.,Une jeune femme blonde en noir sourire sous son parasol noir.,1
L'homme utilise un écraseur dans son bureau.,Un homme assis sur un trottoir.,2
Trois hommes lisent un journal.,Deux personnes assises sur un kayak en eau calme et regardant un magnifique coucher de soleil.,2
Le jeune homme a réussi à roder le pôle métallique,Un jeune homme emprunte une patinoire le long d'un pôle métallique.,1
Les gens se jouissent mutuellement d'une compagnie sur le coin de la rue pluviale.,"Il vient d'être établi à un coin de la rue de la ville où les acheteurs, les amis et les voisins ont semblé s'arrêter pour la circulation et se jouissent mutuellement de l'entreprise.",0
Le lama s’ensuivra,"Lady in a pink shirt a blue jeans, holding a little girl, dressed in pink, posing next to an alpaca",2
Un homme ayant un tatouage tribal porte un sac adidas noir.,Un homme ayant un bras tatoué porte un sac adidas noir.,1
Un homme marche.,Un homme traverse une ville avec un masque de taureau pourpre attaché au dos de sa tête.,0
Les gens marchent sur le trottoir.,"Deux personnes marchent sur le trottoir, loin de la caméra.",0
Un petit garçon blonde creuse un trou dans le sable sur la plage.,Un petit garçon blond avec des courtes vertes et bleues creuse un trou dans le sable humide.,1
Un homme jugule des couteaux.,"Homme en t-shirt jaune, en shorts denim noirs, en chaussettes noires et en sneakers blancs, en couteaux de couteaux dans un parc urbain.",0
Personne ne joue la guitare.,Un homme joue la guitare pour une fille à l'hôpital.,2
Les hommes regardent la même chose.,"Trois hommes se trouvent à côté d'un mur, en regardant à droite.",1
Les hommes font partie de l'armée.,Plusieurs hommes en uniforme bleu avec chapeaux blancs se trouvent autour.,1
Un grand homme en noir traverse un magasin d'électronique.,Le grand homme portant une veste noire marche.,1
Un jeune homme joue un jeu.,Un jeune homme jouant avec une console de jeu publique.,0
La femme regarde la viande.,La femme se tient à une table remplie de légumes.,2
Un homme joue un instrument.,Un homme se tient alors qu'il joue les tambours pour un auditoire.,0
Il y a deux hommes qui regardent sur la rue.,Deux hommes portant des boîtes d'affichage regardent l'autre côté de la rue dans une ville.,0
Les couples âgés mangent du dîner.,"Les couples âgés dansent la nuit, avec des cordes de lumières en fond.",2
Couple à l'extérieur,Un couple danse à l'extérieur.,0
Les deux équipes portent du noir et du bleu.,"Deux équipes, l'une portant le blanc, l'autre orange, jouent le soccer ensoleillé.",2
Trois hommes fournissent des saucisses sur le grill pour la fête.,Trois jeunes hommes donnent le signe d'aplomb en grillant des saucisses sur un petit barbecue.,1
L'homme peut avoir des cheveux,Un homme tient les cheveux d'une femme pour montrer son tatouage.,1
"L'homme et la femme chantent leurs instruments, bien que l'instrument de la femme soit bloqué par quelque chose.","Un homme d'âge moyen plus âgé portant un chapeau brun s'étonne sur une guitare et chante dans un microphone; sa compagnone chante dans un microphone et joue également un instrument, mais l'instrument de la femme ne peut être facilement vu.",0
Belle fille qui n'ouvre pas un cadeau de Nol,Belle fille ouvre un cadeau de Nol avec deux chiens à ses pieds.,2
Une fille séjourne à l'intérieur et navigue sur Internet.,"Une fille vêtue d'un sommet rouge, d'un cap rouge et d'un court-métrage de couleur claire est assise sur une roche extérieure.",2
Une femme décide de prendre un raccourci par l'eau pendant la course de relais.,Une femme qui mène une course de relais s'envole à pieds nus par l'eau.,1
Une personne patinage dans un parc de patinage.,Une personne roule le long d'un long tube.,1
Les enfants sont assis.,Un groupe de personnes se rassemble dans une zone boisée; les enfants se trouvent à l'écriture et les adultes se trouvent à côté de eux.,0
Cette personne évite le photographe.,Une personne qui tente désespérément de ne pas être photographiée en plaçant son chandail sur la tête à mesure qu'elle calcule.,0
Un auditoire regarde à mesure que les individus montrent leurs talents.,Plusieurs personnes dansent dans une routine de danse sur scène à mesure que d'autres regardent.,0
Personne ne se tient.,Deux femmes dans les kimonos se trouvent ensemble sourire.,2
Le chien dorme sur le porche.,Un chien mouillé traverse l'herbe jaune et tient un ballon de tennis.,2
Tous les bâtiments sont en béton.,Quatre femmes descendent sur le cours d'eau en canots avec des tiges de bambou et des maisons en arrière.,2
Une bande joue sur scène.,"Trois skieurs descendent sur une colline, tandis que les spectateurs regardent.",2
Une petite fille emprunte un autobus,"Une petite fille en rose, en bleu et en rouge marche la rue de la ville après une journée de pluie.",2
Une personne se trouve à l'extérieur.,Une femme en robe blanche qui tient des fleurs en face de 4 vaches.,0
Les gens prêts à rompre le record mondial en manger des chiens chauds dans le noyau.,Un groupe de personnes en manteaux blancs et en pantalons noirs ayant des pieds nus se trouvent sur un tapis vert.,2
Le photographe se trouve dans l'espace.,Un photographe dans une chemise rouge se trouve à l'intérieur d'une pièce avec graffiti sur le mur.,2
Un homme debout à côté d'une rivière.,Un homme est assis dans une baignoire.,2
La femme est originaire des années 80 ou fait référence aux années 80.,"Une femme blonde danse, en portant des plus chaudes pour jambes rouges.",1
Un homme joue des tambours improvisés sur des seaux noirs dans la neige.,Un homme joue des tambours improvisés sur des seaux blancs dans la neige.,2
La cafétéria offre des aliments.,Un grand panier de déversoirs dans une cafétéria asiatique.,0
Sept femmes assises à une table mangeant et conversant.,Sept femmes assises à une table mangeant.,0
Certaines personnes se trouvent dans une rue,Un groupe de personnes se trouvent sur un coin de rue.,1
Un groupe de gens joue le basket-ball.,Un groupe de personnes assises sur une bance.,2
Un jeune garçon est en train de rouler son nouveau skateboard pendant qu'il est au téléphone avec le président.,"Am upset young boy is sitting on a skateboard, on some stairs, and is holding a phone.",2
Enfant seul dans la voiture.,Un homme assis avec un petit garçon dans le siège de conducteur d'une jeep.,2
la femme est à la maison manger,Une femme sur un littoral portant des jeans pâles et une veste multicolore s'enfonce à travers un télescope.,2
une petite fille se trouve sur un trottoir.,Le petit garçon roule et sourit.,2
Le médecin est lui-même à son bureau.,Un médecin consultant un patient.,2
Il y a quelqu'un qui se tient dans un vêtement.,Homme portant un costume en vert en boucle.,0
Un travailleur se trouve près d'un camion à mesure que les voitures passent.,"Un travailleur se trouve à proximité de son camion, gardant le trou d'homme sur lequel son assistant s'efforce de franchir les voitures.",0
Un homme et une femme ont enlevé deux enfants.,Un homme pousse deux enfants à cheveux blonds dans une char tandis qu'une autre fille à cheveux blond se maintient.,2
un homme se tient avec quelque chose avec lui,Un homme ayant des vêtements colorés est avec un oiseau,1
Il y a un homme à l'intérieur.,Un homme vêtu de noir marche seul à travers un chemin de fer vide.,2
Les deux hommes sont à l'extérieur.,Deux hommes tiennent une discussion sur une courbe de rue tandis qu'un taxi jaune traverse un fond chaotique de publicité.,0
Un groupe d'employés participe à un séminaire sur la sécurité.,"Une ligne d'employés de'Tube Lines' porte des ailes, des casques et des vestes oranges.",1
Un homme flâne à lui-même.,L'homme en attire d'affaires parle au microphone.,2
Les gens se hâtent de prendre leurs vols.,Une foule de personnes à l'aéroport,1
Quelqu'un parle.,Un homme parle d'une scie.,0
Le forage fait un trou dans la main qui tient l'objet.,Une main qui tient un objet pendant qu'un trou est foré dans celui-ci.,2
L'homme fume une cigarette à sa maison.,Un homme en chemise bleue a fumé une cigarette dans l'espace public avec des bancs.,2
Une personne surfe,Il y a une personne dans le surf océanique.,0
Un homme sur une patinoire.,Un jeune homme est une chemise rouge qui joue un truc de skateboard.,0
Les travailleurs de la construction étaient ensemble.,"Quatre travailleurs masculins de la construction, dont trois ont des chemises jaunes, se trouvent ensemble.",0
Quelqu'un se trouve à la fin d'un tuyau.,Un homme est vu à l'extrémité d'un tuyau.,0
Une fille dorme avec un couple de chiens,Girl running through a field with a brown dog and a white dog.,2
Les enfants en bateau.,Les enfants se trouvent dans des bateaux en bois sur un lac.,0
L'enfant roule dans les bois.,un jeune enfant portant un manteau blanc jouant un jeu d'or pour enfants.,2
Les hommes sont des amis.,Deux hommes en boxe portant une chemise rouge et une chemise bleue.,1
Le snowboardeur emprunte une colline abrupte.,Un snowboardeur en descente,1
L'homme cuisine pour un barbecue.,Un homme se tient devant un grille.,1
Un mormon traverse le métro.,Un missionnaire mormon traverse sa bicyclette au-dessus d'un panneau de métro.,0
Une femme parle.,Une conférencière au théâtre SVA donne un discours.,0
un enfant assis sur une duine de sable,Un garçon faisant une fuite d'arrière d'une duine de sable.,2
Un jeune homme fait des trucs sur un patinoire,Un jeune homme manufacturier dans l'air avec un skateboard.,0
Deux hommes se courent dans la rue dans une camionnette.,Deux hommes se trouvent dans le dos d'un camion de ramassage.,2
Deux récupérations d'or qui se déroulent dans un désert neigeux à l'extérieur.,Deux récupérations d'or se déroulant dans un désert légèrement neigeux.,0
Personnes à la course,De nombreuses personnes se trouvent sur un chemin en briques surpeuplé en descendant vers une montagne fumeur lointaine.,2
Une personne est sur une moto à moteur bleu lors d'un événement,Une personne emprunte une motocyclette dans le cadre d'un événement de croisement.,1
Deux filles se trouvent à l'extérieur.,"Une fille se tient sur la rue, et l'autre crouche en regardant quelque chose sur le sol.",0
jouent dans l'eau au moment où ils prennent un bain.,Trois chiens jouent en eau.,-1
Le chien joue à la fetche.,Un chien est sur l'herbe se se retranchant sec.,2
Les adultes poussent des blocs de béton dans leur voiture.,Les enfants poussent des blocs de béton sur un chariot.,2
Un quatuor de barbeterie chante devant un microphone.,Un groupe d'hommes en chemises d'or chantant devant un microphone.,1
Un enfant prend un bain de bulle avec son canard en caoutchouc.,Un enfant a ses doigts dans la farine sur un comptoir de cuisine.,2
L'oiseau est fait d'or pur,Une grande grue blanche vole à basse altitude près de l'eau.,2
Il y a des travailleurs.,Les hommes en chemises blanches prennent une pause de travail.,2
un homme sans chemise regrette de ne pas apporter de lunettes de soleil tandis que son ami jouit d'une vision parfaite,Un homme sans chemise en shorts rayés et en lunettes de soleil avec un homme en chemise blanche et en lunettes de soleil.,1
Les gens marchent à l'extérieur.,Les gens marchent dans la rue à un foire.,0
les gens jouent le soccer,Les fans et les joueurs célèbrent et mettent leur entraîneur sur leurs épaules après avoir remporté un match de soccer durant un match de nuit.,0
L'autobus était rempli de femmes en colère qui se rendaient au rassemblement.,Sur ce bus est une femme assez en colère.,1
Une famille qui porte tous des chapeaux de paille se trouve au sommet d'une montagne.,Une photo de famille au sommet d'une montagne avec une belle vue derrière elles.,1
L'homme dans le casque jaune n'est pas sur le pont.,"Un homme dans un casque jaune regarde en haut, tandis que des gens sur le pont.",1
Les filles portent des robes correspondantes.,Deux filles soufflent des kisses dans la caméra.,1
Un pompier portant un chapeau dur et portant un char sur son dos se trouve derrière un autre homme qui atteint derrière un tuyau d'incendie dans un cabinet d'acier.,Un pompier portant un chapeau dur et portant un char sur son dos se trouve derrière un autre homme qui atteint derrière un tuyau d'incendie dans un cabinet de métal.,1
Un homme en colère cherche un combat pendant qu'il boire.,un homme jointment en colère gardant de l'alcool,1
Un jeune homme en croix.,Un jeune homme en chandail de football s'appuie avec des crutches tout en observant un événement.,0
Un rideur de vélo de terre a commis une erreur au cours de sa course.,Un vélo de terre s'envole à l'arrière lorsque le rideur tombe vers la terre.,0
Il s'agit d'un site de construction contenant des briques.,Les travailleurs de la construction déchargent des briques d'un camion stationné directement à l'endroit où un autre travailleur attend.,0
un enfant y était,"Une femme de ski de fond, avec un chien brun.",0
Homme de tennis portant des shorts jaunes.,femme de tennis portant des shorts jaunes.,2
Un plongeur en course dans la course.,Un plongeur sous-marin posant à côté d'un grand organisme aquatique.,2
L'homme porte une calotte noire.,L'homme porte un chapeau noir avec un thème de fête.,0
L'enfant n'a jamais remonté un mur auparavant.,Un jeune enfant sur un mur d'escalade.,1
Le joueur se prépare à se déplacer,Un joueur de baseball debout sur la moquette.,1
Une personne a une statue du Père Nol sur sa tête.,Un homme portant une veste bleue portant une statue du Père Nol au dessus de sa tête,0
Un jeune garçon se repose après une longue baignade.,Un jeune garçon en tronc de nage marche avec ses bras à l'extérieur de la plage.,1
le dîner est prêt,Un homme aîné crouche pour lever le revêtement de la grille portent plusieurs kababs shish sont grilling.,1
Le chien est vraiment un chat dans un costume de chien.,Un homme dans une chemise noire marche son chien pendant le coucher de soleil.,2
Un homme qui exécute un rabais pour un film.,Un homme à l'arrière saute au-dessus d'un autre homme à l'arrière d'un mur,1
Une fille boire du thé.,"Jeune garçon à cheveux foncés dans une chemise bleue, dans un magasin durant la journée, boire du lait chocolat à partir d'un contenant et souriant.",2
Un homme utilise une machine.,Un homme en bleu fixant un type de machine.,1
l'homme mène à la maison,L'homme se repose en savourant sa bière.,2
Un groupe de personnes qui s'enferment du silence.,"Un groupe de personnes assises tranquillement sur le métro, profondément pensées.",1
Les amis parlent ensemble de la nourriture.,Deux hommes et une femme assis à une table avec un lit bleu.,1
L'homme dorme dans la charrette.,Un homme portant un chapeau de coiffure et un t-shirt blanc se tient derrière un chariot à roues.,2
Deux femmes ont commandé leurs repas.,"Deux femmes ayant de longs cheveux noirs, l'une dans une veste de denim, l'autre dans un manteau noir et gardant sa poche, commandant de la nourriture dans un restaurant.",0
Un chien est à l'extérieur,Un chien dans un champ.,0
une personne sur une motocyclette traverse la boue,"Un motocycliste dans les essais de motocyclette traverse la boue du circuit, les yeux étant concentrés sur la route à venir.",0
Un homme assis devant son Macbook Pro,Un homme assis devant son ordinateur portable.,1
Un homme dans une chemise,"Petite fille en tête brune dans une chemise rouge et blanche, des capris blancs et des sandales blanches jouent à l'extérieur pour chasser les pigeons.",0
Le garçon tente d'éviter les blessures.,Le garçon saute de skateboard en descendant sur les escaliers.,0
les hommes dorment dans le motel,"Un homme, portant tous les vêtements noirs, marche dans la rue à mesure qu'une voiture s'approche de lui avec ses feux d'allumage.",2
Un groupe d'enfants est à la zoo.,Un petit garçon marche à côté d'un groupe de quatre grands oiseaux.,1
Les hommes travaillent sur le toit.,Un petit groupe d'ouvriers semble travailler à l'excavation ou à la réparation de la rue alors qu'une femme et un homme se trouvent à l'écart d'une berline noire.,2
Un homme et sa femme jouent avec leur bébé à l'extérieur.,Un homme peuplé ayant ses lunettes à la tête et une femme ayant ses cheveux dans un poil tient un bébé.,1
un chien joue dans une jungle,Un chien dans une zone sablonneuse avec le sable agité dans l'air et plusieurs plantes en fond.,1
le garçon est en attente,Un garçon tourne dans l'air.,2
L'homme en jachère transporte un colis.,Jeune homme dans une veste à balayage et gardant une boîte blanche et marchant le long d'une rue.,0
Une foule d'enfants en colère émeute dans les rues.,Deux garçons sont prêts à recevoir un ballon lors d'un match de tennis.,2
Quelqu'un tient une balle.,Un homme qui retourne un ballon de tennis.,0
Les jeunes hommes exécutent.,Deux jeunes hommes jouent des guitares dans le coin d'une pièce.,0
Le jeune homme faisait partie d'un groupe de personnes.,"Un jeune homme, portant son intermédiaire, et d'autres personnes sont rassemblés dans une rue de la ville.",1
Une personne évite d'avoir leurs cheveux humides.,"Personne se protégeant de l'eau, en portant un costume.",1
Deux amis jouant,"Deux petites filles, l'une en robe bleue et violette, l'autre en robe rayée rouge, peint avec rouge et jaune sur une pièce de toile dans la rue.",2
Une personne conduit un véhicule hors route pour gagner une course.,Personne permanente qui emprunte un véhicule hors route à travers des dunes de sable marquées par des roues.,1
Les filles se rendent mutuellement.,"Les filles portant des costumes se trouvent autour, un sourire.",2
Le groupe de personnes est heureux.,Un groupe de gens se rassemblent et semblent bouleversés.,2
L'équipe de baseball arrive sur le terrain avant le début de son jeu.,Une équipe masculine de baseball quitte le champ,2
Le conducteur de voiture se tourne sur une piste.,"Un entraîneur de VTT souffle sur la piste, envoyant partout de la terre.",2
Un garçon pratique un cheval de loisir.,Une femme en veste noire et en pantalon bleu roule sur l'épaule à travers la zone de construction.,2
Les garçons ont été adoptés mais se sentent à la maison avec la mère à la plage.,Les garçons suivent leur mère sur la plage.,1
Les gens ici sont à un mariage.,Une femme portant un gros chapeau rose et blanc est assise à côté de plusieurs hommes portant des chemises bleues et blanches avec des cendres jaunes et devant plusieurs tambours surplombés avec le même type de chapeau rose et blanc.,1
Il naît dans un grand corps d'eau.,Un homme à l'arrière d'un canot dans un grand corps d'eau.,2
Un homme est à l'extérieur.,Un homme travaille à l'extérieur.,0
Un homme peuplier qui conduit une voiture.,Un homme peuplier dans un chaussée d'un vélo à travers une ville.,2
Deux danseurs du ventre dansent.,Il s'agit de deux danseurs du ventre en danse moyenne.,0
La femme va au supermarché.,"Une femme marche dans la rue, pousse une promenade et tient la main de son enfant.",1
Les gens se trouvent sur un canapé.,Une foule de gens marchent sur une rue de la ville.,2
Le sac à ordures noir est vide.,Un groupe d'enfants se rassemble autour d'un sac à ordures noir.,2
Deux hommes en uniforme à l'extérieur d'une zone.,Deux hommes en uniforme bleu utilisent une bande jaune pour se détacher d'une zone située à l'intérieur d'une clôture en bois blanc.,0
Les hommes fixent des trous.,Trois hommes portant des vestes jaunes vifs travaillent sur une route.,1
Personne ne tombe en genoux,Homme avec t-shirt et shorts de khaki genoux sur le sol.,2
L'homme se trouve dans une tente de cirque.,Un homme debout dans un costume portant des lunettes en gardant une pièce de papier à l'intérieur d'une tente.,1
L'homme peuplier est sur le cellulaire.,Un homme a blanchi les extrémités dans ses cheveux de style Afro et est sur un cellulaire.,2
Un homme travaille sur une voiture.,Un homme dans une chemise blanche travaille sur un ordinateur portable tandis qu'un autre homme dans une chemise noire indique quelque chose sur l'écran avec un stylo.,2
L'enfant détient quelque chose.,Un enfant ayant une chemise verte tient une balle rouge contre sa bouche.,0
Le camion est rouge.,un camion-feu jaune est stationné à côté d'un feu avec un homme sur une échelle pour l'eau.,2
Un homme en pantalon noir seul.,Homme en pantalons jaunes en spectacle pour une foule.,2
Une personne se tient au milieu de la route et frappe une balle rouge.,Un garçon se tient au milieu de la route et frappe une balle rouge.,0
Les gens naissent dans l'océan.,Les gens équipés de paquets de randonnée et de bâtonnets de marche montent sur une montagne neigée.,2
Un groupe de cyclistes.,Personnes qui empruntent des motocycles.,0
Quelque personne dans le cadre a des chaussures sur ses pieds.,Deux travailleurs de la construction portant des bottes de caoutchouc jaune sont assis à côté de certaines tuyaux.,0
Une femme est fatiguée.,Une femme qui tient une boîte blanche en sommeil assise dans une voiture de métro.,0
Les chiens jouent ensemble,Trois chiens marchent ensemble sur un champ de neige.,1
Les hommes se reposent et boivent de la bière.,Les femmes âgées préparent le dîner.,2
Quatre soeurs attendent l'arrivée du train.,Quatre femmes attendent avec leurs bagages sur une plate-forme du train.,1
Un travailleur de la construction mange sur une machine,Un travailleur de la construction observe une machine.,2
Il construit un bâtiment.,Un homme travaille sur une partie en pierre d'un bâtiment.,0
